"gene_id","gene_symbol","entrez_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000160182.3","TFF1","7031",12873.9787584592,1.76550721078403,0.0359600784423198,49.1531801055475,0,0
"ENSG00000117115.13","PADI2","11240",2614.81610261898,1.98903936854002,0.0591033782841047,33.7312878522176,2.01114441808397e-249,1.73420983171381e-245
"ENSG00000150687.12","PRSS23","11098",15776.3252189815,1.11696066213921,0.0346792806702511,32.2804058721699,1.31770346023332e-228,7.57503795839463e-225
"ENSG00000047457.14","CP","1356",1434.77541087187,2.70767577945397,0.0843686291410752,32.1801260791828,3.34830792450408e-227,1.44362296164994e-223
"ENSG00000142619.4","PADI3","51702",852.036126054421,3.49970675870631,0.110039379096919,31.8884873459382,3.85605921886999e-223,1.33003194577264e-219
"ENSG00000165272.16","AQP3","360",9871.55562619185,1.28552380210637,0.04259106989168,30.262222572719,3.60299588567805e-201,1.03562111740673e-197
"ENSG00000162496.9","DHRS3","9249",1430.46320044866,2.39373330675227,0.0819670590112156,29.305356779386,8.86305820849566e-189,2.1836043123388e-185
"ENSG00000109321.11","AREG","374",2370.95598934494,2.01148516838364,0.0700511926670952,28.8075038882842,1.72757403872672e-182,3.72421773398512e-179
"ENSG00000143878.10","RHOB","388",8471.09746322054,-1.04398770371929,0.0364580186587384,-28.7294678301465,1.63528698687093e-181,3.13357326395289e-178
"ENSG00000143341.12","HMCN1","83872",10060.8059149462,-1.3271452859692,0.0482694089055217,-27.5902826543674,1.45542460499097e-167,2.51002527376743e-164
"ENSG00000124762.14","CDKN1A","1026",5420.33416101497,-1.33683641917693,0.0486642741299033,-27.5688758185081,2.62863149139732e-167,4.12121624551256e-164
"ENSG00000108846.16","ABCC3","8714",4502.64008054797,1.3275129413832,0.0486603593591098,27.3762827845495,5.2556964377465e-165,7.55331173044801e-162
"ENSG00000117139.18","KDM5B","10765",3905.32145265931,1.67573399127718,0.0622442971014053,27.0146300614236,9.94973357134151e-161,1.31994696285658e-157
"ENSG00000135373.13","EHF","26298",2421.43314411718,1.75400720132693,0.0653283859751806,26.9469310403651,6.19681483363089e-160,7.63359061577131e-157
"ENSG00000006747.15","SCIN","85477",5535.66591726769,-1.10225176165687,0.0414524896295389,-26.6853773936703,6.9578449403562e-157,7.9996662560922e-154
"ENSG00000160285.15","LSS","4047",10501.2838325033,-1.03452062741342,0.0393753959344361,-26.3685163062303,3.14809638901251e-153,3.39325439530686e-150
"ENSG00000100867.15","DHRS2","10202",1058.60714851113,2.28827029937827,0.0876912681740723,26.1940641331579,3.10518960801402e-151,3.15012352822411e-148
"ENSG00000120875.9","DUSP4","1846",5422.46211158895,1.19448003733969,0.0460703786992894,26.0190195865809,3.01740706326137e-149,2.89101123405586e-146
"ENSG00000163347.6","CLDN1","9076",4170.16469694687,1.43402526272492,0.0555940361640203,25.8962986908176,7.33072027345411e-148,6.65397904399945e-145
"ENSG00000088340.17","FER1L4","80307",992.310311384982,2.3638034890688,0.0916708328926946,25.8885270423539,8.96743577374539e-148,7.73261986770065e-145
"ENSG00000130707.18","ASS1","445",3102.56536659938,1.60703355609769,0.0628744586019085,25.6659300909964,2.80775897490584e-145,2.30583863243934e-142
"ENSG00000113532.13","ST8SIA4","7903",1836.5314468898,-1.85527517157337,0.0727626737081761,-25.6053590798503,1.32967439726702e-144,1.04234384796668e-141
"ENSG00000146476.11","ARMT1","79624",30995.1575189444,-0.78581493061009,0.030898957877052,-25.5215411237439,1.13688720742303e-143,8.52467686052935e-141
"ENSG00000116977.19","LGALS8","3964",3581.02768031359,1.26539681364904,0.0506369484682759,25.0949383032251,5.64813004966456e-139,4.05865211818812e-136
"ENSG00000111885.7","MAN1A1","4121",6921.6138326509,-1.162733908462,0.0467205062632692,-24.9883363142556,8.18637594735274e-138,5.64728958352182e-135
